Entity,Code,Year,GDP,GDP (Annotations)
Albania,ALB,1870,428733000,
Albania,ALB,1890,691878000,
Albania,ALB,1900,873600000,
Albania,ALB,1910,1086382000,
Albania,ALB,1913,1161114000,
Albania,ALB,1929,1442052000,
Albania,ALB,1950,1958540985,
Albania,ALB,1951,2089362284,
Albania,ALB,1952,2138255934,
Albania,ALB,1953,2282159543,
Albania,ALB,1954,2415072969,
Albania,ALB,1955,2620052535,
Albania,ALB,1956,2728373260,
Albania,ALB,1957,2986969624,
Albania,ALB,1958,3216275521,
Albania,ALB,1959,3458495083,
Albania,ALB,1960,3754262713,
Albania,ALB,1961,3909912842,
Albania,ALB,1962,4163081943,
Albania,ALB,1963,4433269979,
Albania,ALB,1964,4719963732,
Albania,ALB,1965,5029350780,
Albania,ALB,1966,5354307545,
Albania,ALB,1967,5706156728,
Albania,ALB,1968,6073281336,
Albania,ALB,1969,6468809853,
Albania,ALB,1970,6888218921,
Albania,ALB,1971,7337364498,
Albania,ALB,1972,7811524698,
Albania,ALB,1973,8317288195,
Albania,ALB,1974,8539399850,
Albania,ALB,1975,8761642764,
Albania,ALB,1976,8996929866,
Albania,ALB,1977,9235806040,
Albania,ALB,1978,9474237609,
Albania,ALB,1979,9727294997,
Albania,ALB,1980,9993752701,
Albania,ALB,1981,10248711161,
Albania,ALB,1982,10517106662,
Albania,ALB,1983,10795983352,
Albania,ALB,1984,11080088527,
Albania,ALB,1985,11371456744,
Albania,ALB,1986,11669745014,
Albania,ALB,1987,11975300148,
Albania,ALB,1988,12296424628,
Albania,ALB,1989,12617018592,
Albania,ALB,1990,12947849077,
Albania,ALB,1991,9375856841,
Albania,ALB,1992,8745674435,
Albania,ALB,1993,9636341649,
Albania,ALB,1994,10596114842,
Albania,ALB,1995,11600732968,
Albania,ALB,1996,12468867839,
Albania,ALB,1997,11020137102,
Albania,ALB,1998,12026242682,
Albania,ALB,1999,13673692880,
Albania,ALB,2000,14736835655,
Albania,ALB,2001,16103903904,
Albania,ALB,2002,17037279441,
Albania,ALB,2003,18171076149,
Albania,ALB,2004,19346601376,
Albania,ALB,2005,20562850324,
Albania,ALB,2006,21889974405,
Albania,ALB,2007,23259283502,
Albania,ALB,2008,25006230217,
Albania,ALB,2009,25821550979,
Albania,ALB,2010,26747818608,
Albania,ALB,2011,27431048326,
Albania,ALB,2012,27819814441,
Albania,ALB,2013,28098562696,
Albania,ALB,2014,28597169040,
Albania,ALB,2015,29231663899,
Albania,ALB,2016,30200694449,
Albania,ALB,2017,31348975722,
Albania,ALB,2018,32609000823,
Albania,ALB,2019,33289747424,
Albania,ALB,2020,32130726850,
Albania,ALB,2021,34866976278,
Albania,ALB,2022,36171005594,
