Entity,Code,Year,GDP,GDP (Annotations)
Algeria,DZA,1820,1841965000,
Algeria,DZA,1870,4304640000,
Algeria,DZA,1913,10191438000,
Algeria,DZA,1950,19350553875,
Algeria,DZA,1951,19480383067,
Algeria,DZA,1952,20349999181,
Algeria,DZA,1953,20798191134,
Algeria,DZA,1954,22019013543,
Algeria,DZA,1955,22665781899,
Algeria,DZA,1956,24891403710,
Algeria,DZA,1957,27721041545,
Algeria,DZA,1958,28728693964,
Algeria,DZA,1959,33993148027,
Algeria,DZA,1960,36306130250,
Algeria,DZA,1961,31896876515,
Algeria,DZA,1962,25126165785,
Algeria,DZA,1963,31766970005,
Algeria,DZA,1964,33433419329,
Algeria,DZA,1965,35661973735,
Algeria,DZA,1966,33932634033,
Algeria,DZA,1967,37094770661,
Algeria,DZA,1968,41423886061,
Algeria,DZA,1969,45387458950,
Algeria,DZA,1970,49945666845,
Algeria,DZA,1971,45701215972,
Algeria,DZA,1972,55293908511,
Algeria,DZA,1973,57097847688,
Algeria,DZA,1974,60577884755,
Algeria,DZA,1975,64883812851,
Algeria,DZA,1976,69150103648,
Algeria,DZA,1977,75438035015,
Algeria,DZA,1978,85103913585,
Algeria,DZA,1979,92753892187,
Algeria,DZA,1980,94481648187,
Algeria,DZA,1981,96860512464,
Algeria,DZA,1982,103073663847,
Algeria,DZA,1983,108430390837,
Algeria,DZA,1984,114406671796,
Algeria,DZA,1985,120364208777,
Algeria,DZA,1986,119145030269,
Algeria,DZA,1987,118321211437,
Algeria,DZA,1988,115821713281,
Algeria,DZA,1989,119762433617,
Algeria,DZA,1990,117843179781,
Algeria,DZA,1991,121105141795,
Algeria,DZA,1992,127982696018,
Algeria,DZA,1993,130275774703,
Algeria,DZA,1994,134279859768,
Algeria,DZA,1995,145054664533,
Algeria,DZA,1996,156579113896,
Algeria,DZA,1997,164644463404,
Algeria,DZA,1998,179962887740,
Algeria,DZA,1999,193179776879,
Algeria,DZA,2000,208554150552,
Algeria,DZA,2001,223420294027,
Algeria,DZA,2002,245360923720,
Algeria,DZA,2003,273568638765,
Algeria,DZA,2004,296773569597,
Algeria,DZA,2005,326854481030,
Algeria,DZA,2006,345705309468,
Algeria,DZA,2007,371665260161,
Algeria,DZA,2008,395658515586,
Algeria,DZA,2009,418247711085,
Algeria,DZA,2010,450705801593,
Algeria,DZA,2011,482028679734,
Algeria,DZA,2012,498417638719,
Algeria,DZA,2013,512373332647,
Algeria,DZA,2014,531843509827,
Algeria,DZA,2015,551521739825,
Algeria,DZA,2016,569170418715,
Algeria,DZA,2017,577138830559,
Algeria,DZA,2018,584064441740,
Algeria,DZA,2019,589905104177,
Algeria,DZA,2020,559819958223,
Algeria,DZA,2021,578853830170,
Algeria,DZA,2022,595820067103,
