Entity,Code,Year,GDP,GDP (Annotations)
Angola,AGO,1950,6905244023,
Angola,AGO,1951,7156858293,
Angola,AGO,1952,7427327102,
Angola,AGO,1953,7707442519,
Angola,AGO,1954,7494946191,
Angola,AGO,1955,8094498354,
Angola,AGO,1956,7944565179,
Angola,AGO,1957,8703076482,
Angola,AGO,1958,9169780066,
Angola,AGO,1959,9207761800,
Angola,AGO,1960,9580296443,
Angola,AGO,1961,10574287512,
Angola,AGO,1962,10269760210,
Angola,AGO,1963,10823089062,
Angola,AGO,1964,12097687776,
Angola,AGO,1965,13062976664,
Angola,AGO,1966,13762507500,
Angola,AGO,1967,14446282812,
Angola,AGO,1968,14258772797,
Angola,AGO,1969,14746072800,
Angola,AGO,1970,15796654001,
Angola,AGO,1971,15843643664,
Angola,AGO,1972,16088033313,
Angola,AGO,1973,17187186685,
Angola,AGO,1974,16327891195,
Angola,AGO,1975,10064128183,
Angola,AGO,1976,9040011512,
Angola,AGO,1977,9245570800,
Angola,AGO,1978,9619385668,
Angola,AGO,1979,9853037586,
Angola,AGO,1980,10330398679,
Angola,AGO,1981,10119853675,
Angola,AGO,1982,9643454557,
Angola,AGO,1983,9325809281,
Angola,AGO,1984,9370042336,
Angola,AGO,1985,9420208558,
Angola,AGO,1986,8569986810,
Angola,AGO,1987,9540737551,
Angola,AGO,1988,10911810585,
Angola,AGO,1989,11089228164,
Angola,AGO,1990,11482503320,
Angola,AGO,1991,12341156472,
Angola,AGO,1992,12363420423,
Angola,AGO,1993,9985477687,
Angola,AGO,1994,10760814258,
Angola,AGO,1995,13143769844,
Angola,AGO,1996,15819838004,
Angola,AGO,1997,17972296931,
Angola,AGO,1998,19905045075,
Angola,AGO,1999,21527478033,
Angola,AGO,2000,23512184116,
Angola,AGO,2001,26015021059,
Angola,AGO,2002,31389808151,
Angola,AGO,2003,35081368421,
Angola,AGO,2004,41307235678,
Angola,AGO,2005,51967661783,
Angola,AGO,2006,66749579296,
Angola,AGO,2007,87086353818,
Angola,AGO,2008,105593132748,
Angola,AGO,2009,115247846475,
Angola,AGO,2010,126984175354,
Angola,AGO,2011,140477268750,
Angola,AGO,2012,152476849129,
Angola,AGO,2013,160032073258,
Angola,AGO,2014,167750415635,
Angola,AGO,2015,169333972139,
Angola,AGO,2016,164965166058,
Angola,AGO,2017,164717711409,
Angola,AGO,2018,162550037080,
Angola,AGO,2019,161408924528,
Angola,AGO,2020,152308692850,
Angola,AGO,2021,153971902307,
Angola,AGO,2022,158346237030,
