Entity,Code,Year,GDP,GDP (Annotations)
Armenia,ARM,1973,26603649271,
Armenia,ARM,1980,28944150679,
Armenia,ARM,1981,30229902752,
Armenia,ARM,1982,31572139214,
Armenia,ARM,1983,32260060096,
Armenia,ARM,1984,33825293751,
Armenia,ARM,1985,35371482835,
Armenia,ARM,1986,35568039616,
Armenia,ARM,1987,33956640522,
Armenia,ARM,1988,32698725941,
Armenia,ARM,1989,35006065203,
Armenia,ARM,1990,32650114430,
Armenia,ARM,1991,27959799817,
Armenia,ARM,1992,15777768492,
Armenia,ARM,1993,13153115049,
Armenia,ARM,1994,13441640358,
Armenia,ARM,1995,14085547383,
Armenia,ARM,1996,14363162631,
Armenia,ARM,1997,14402224399,
Armenia,ARM,1998,14841976252,
Armenia,ARM,1999,14850694858,
Armenia,ARM,2000,15244825874,
Armenia,ARM,2001,16184137401,
Armenia,ARM,2002,18018113990,
Armenia,ARM,2003,19928773567,
Armenia,ARM,2004,21350959248,
Armenia,ARM,2005,23626538545,
Armenia,ARM,2006,25937834265,
Armenia,ARM,2007,28610365796,
Armenia,ARM,2008,29672467967,
Armenia,ARM,2009,24704739187,
Armenia,ARM,2010,24485670654,
Armenia,ARM,2011,24860520809,
Armenia,ARM,2012,26634064691,
Armenia,ARM,2013,27542825799,
Armenia,ARM,2014,28536291283,
Armenia,ARM,2015,29464863299,
Armenia,ARM,2016,29522321034,
Armenia,ARM,2017,31741802974,
Armenia,ARM,2018,33400320594,
Armenia,ARM,2019,35949092334,
Armenia,ARM,2020,33378378959,
Armenia,ARM,2021,35275596129,
Armenia,ARM,2022,39721734780,
